Distance_(pixels),Gray_Value
0,18.000
1,20.990
2,22.152
3,23.560
4,23.862
5,24.985
6,24.189
7,23.532
8,23.546
9,20.697
10,21.309
11,22.098
12,22.045
13,22.250
14,24.558
15,27.531
16,27.667
17,27.350
18,25.442
19,23.617
20,22.653
21,22.355
22,22.645
23,23.597
24,24.903
25,25.607
26,27.115
27,27.961
28,27.404
29,25.712
30,24.796
31,24.679
32,25.240
33,24.836
34,24.764
35,26.145
36,26.563
37,26.318
38,26.359
39,27.615
40,28.731
41,28.639
42,27.813
43,28.349
44,28.792
45,30.933
46,32.671
47,33.551
48,34.465
49,33.405
50,32.452
51,31.722
52,31.696
53,32.317
54,32.180
55,31.787
56,30.296
57,29.113
58,28.829
59,29.617
60,30.626
61,30.435
62,32.033
63,33.922
64,34.758
65,36.165
66,39.019
67,40.465
68,40.137
69,39.208
70,38.548
71,38.860
72,39.210
73,39.772
74,41.979
75,43.434
76,43.717
77,41.916
78,41.292
79,42.592
80,42.681
81,44.422
82,45.000
83,44.206
84,42.528
85,40.291
86,38.185
87,37.721
88,38.409
89,39.421
90,42.095
91,45.177
92,46.000
93,45.571
94,45.615
95,45.667
96,45.667
97,45.667
98,45.667
99,47.070
100,49.735
101,50.038
102,49.772
103,49.157
104,47.999
105,47.147
106,46.894
107,48.052
108,50.468
109,52.217
110,54.088
111,55.557
112,55.963
113,57.097
114,58.230
115,60.067
116,62.202
117,64.072
118,65.701
119,65.124
120,64.162
121,63.132
122,65.844
123,70.032
124,71.296
125,69.694
126,66.695
127,65.096
128,66.023
129,65.324
130,66.653
131,69.794
132,71.710
133,72.579
134,74.211
135,75.548
136,76.000
137,76.905
138,78.344
139,79.305
140,80.233
141,81.688
142,82.680
143,82.904
144,83.623
145,84.873
146,86.147
147,88.985
148,93.845
149,97.306
150,98.107
151,97.380
152,96.374
153,98.156
154,101.270
155,102.862
156,103.488
157,105.950
158,112.458
159,119.683
160,120.463
161,116.837
162,117.577
163,119.134
164,118.443
165,118.793
166,117.018
167,112.798
168,112.910
169,118.901
170,123.584
171,124.996
172,128.394
173,131.965
174,131.310
175,128.298
176,128.864
177,131.806
178,132.163
179,130.350
180,127.929
181,125.865
182,124.073
183,123.120
184,124.167
185,125.905
186,127.573
187,127.890
188,126.807
189,128.663
190,129.723
191,130.341
192,132.654
193,133.015
194,130.861
195,132.445
196,134.684
197,131.124
198,127.593
199,133.014
200,139.810
201,139.936
202,139.059
203,142.320
204,146.954
205,151.286
206,154.380
207,155.658
208,156.552
209,156.355
210,156.869
211,161.722
212,165.019
213,164.978
214,165.680
215,170.847
216,175.892
217,177.483
218,174.350
219,168.673
220,164.223
221,156.678
222,151.913
223,149.045
224,145.851
225,144.450
226,144.708
227,145.157
228,145.538
229,143.383
230,141.955
231,143.741
232,146.209
233,147.870
234,148.722
235,147.315
236,149.450
237,153.797
238,155.234
239,153.929
240,153.772
241,157.441
242,160.778
243,160.858
244,164.458
245,170.903
246,175.987
247,179.767
248,181.350
249,179.538
250,174.797
251,170.966
252,162.457
253,158.349
254,154.424
255,153.095
256,150.570
257,150.003
258,148.556
259,143.729
260,142.587
261,140.162
262,138.344
263,138.111
264,135.637
265,138.304
266,138.909
267,146.114
268,150.700
269,154.566
270,156.743
271,153.567
272,153.849
273,160.457
274,168.737
275,177.489
276,181.940
277,182.181
278,184.292
279,184.960
280,185.388
281,188.884
282,191.977
283,193.798
284,192.926
285,189.717
286,187.853
287,185.539
288,185.388
289,186.022
290,180.222
291,171.688
292,168.306
293,169.287
294,171.839
295,168.575
296,161.731
297,155.805
298,157.031
299,153.666
300,149.154
301,147.544
302,149.377
303,149.120
304,147.936
305,148.732
306,149.629
307,152.200
308,155.516
309,155.891
310,154.454
311,154.336
312,151.491
313,145.900
314,144.924
315,143.930
316,143.313
317,143.654
318,141.847
319,140.168
320,138.994
321,137.384
322,135.565
323,133.306
324,122.689
325,115.915
326,116.962
327,114.910
328,118.266
329,114.885
330,108.382
331,106.017
332,105.001
333,107.308
334,109.784
335,112.315
336,113.980
337,115.151
338,120.942
339,127.558
340,128.162
341,130.796
342,129.187
343,126.097
344,128.631
345,123.151
346,120.906
347,109.459
348,99.463
349,96.986
350,96.547
351,94.467
352,94.865
353,96.006
354,96.945
355,97.685
356,95.513
357,92.365
358,90.052
359,89.527
360,89.544
361,89.636
362,87.976
363,86.255
364,84.824
365,84.673
366,81.123
367,75.938
368,72.794
369,71.786
370,70.168
371,69.641
372,70.987
373,72.137
374,70.754
375,71.729
376,71.994
377,69.685
378,67.027
379,65.101
380,62.999
381,61.832
382,60.751
383,60.083
384,60.634
385,62.067
386,65.431
387,66.608
388,68.477
389,70.353
390,70.608
391,71.526
392,73.116
393,75.123
394,74.488
395,73.093
396,72.323
397,73.230
398,75.471
399,77.042
400,76.824
401,75.328
402,77.107
403,78.013
404,80.120
405,85.269
406,90.535
407,94.365
408,98.005
409,101.770
410,102.701
411,102.838
412,100.864
413,97.739
414,94.759
415,95.457
416,98.295
417,102.069
418,103.430
419,105.368
420,114.395
421,120.842
422,122.551
423,121.437
424,122.698
425,124.086
426,121.373
427,125.470
428,134.622
429,135.971
430,135.597
431,132.866
432,131.369
433,128.049
434,126.455
435,123.559
436,120.031
437,114.448
438,114.395
439,116.719
440,120.863
441,125.458
442,129.852
443,132.737
444,133.459
445,131.646
446,132.208
447,132.377
448,132.464
449,127.221
450,123.122
451,121.723
452,121.919
453,122.509
454,122.684
455,122.381
456,121.966
457,121.466
458,119.956
459,118.521
460,118.440
461,119.105
462,121.242
463,123.486
464,124.355
465,124.909
466,124.771
467,124.781
468,126.480
469,126.324
470,125.922
471,130.741
472,136.106
473,138.167
474,137.618
475,136.403
476,137.434
477,140.261
478,144.366
479,148.248
480,147.784
481,143.531
482,135.539
483,126.711
484,121.033
485,119.658
486,123.648
487,129.443
488,128.371
489,118.897
490,112.822
491,110.253
492,104.721
493,97.824
494,90.425
495,83.548
496,78.741
497,75.496
498,74.332
499,74.937
500,74.958
501,74.943
502,75.374
503,74.631
504,72.721
505,71.853
506,72.694
507,73.043
508,71.940
509,70.298
510,67.680
511,64.454
512,62.048
513,62.365
514,64.547
515,66.453
516,67.154
517,66.048
518,63.897
519,62.385
520,61.194
521,59.416
522,57.620
523,56.183
524,53.528
525,50.711
526,49.217
527,48.993
528,51.569
529,54.980
530,54.947
531,52.513
532,50.464
533,49.435
534,49.609
535,50.686
536,51.598
537,52.545
538,54.327
539,57.831
540,61.296
541,63.214
542,64.128
543,65.470
544,65.181
545,64.164
546,62.589
547,61.820
548,65.031
549,68.957
550,71.066
551,73.843
552,77.831
553,80.027
554,78.986
555,77.969
556,78.337
557,79.169
558,82.045
559,86.524
560,87.782
561,85.744
562,83.368
563,82.457
564,79.955
565,78.041
566,79.351
567,81.290
568,82.352
569,82.962
570,82.433
571,82.708
572,85.471
573,87.562
574,89.566
575,92.584
576,94.160
577,95.599
578,96.682
579,95.510
580,95.237
581,95.199
582,96.552
583,99.824
584,102.456
585,101.497
586,100.055
587,100.263
588,102.078
589,104.007
590,106.078
591,107.565
592,107.120
593,106.126
594,107.733
595,115.131
596,123.440
597,127.693
598,130.477
599,136.477
600,144.196
601,144.724
602,136.321
603,132.690
604,122.394
605,114.730
606,113.538
607,115.258
608,114.938
609,109.652
610,100.729
611,90.970
612,82.181
613,79.480
614,80.097
615,79.126
616,80.594
617,84.068
618,86.456
619,86.390
620,85.891
621,83.982
622,79.830
623,75.975
624,73.632
625,70.482
626,66.881
627,64.248
628,61.273
629,57.869
630,54.427
631,51.162
632,49.588
633,48.939
634,48.451
635,49.786
636,51.122
637,50.410
638,47.506
639,46.610
640,45.525
641,45.065
642,45.260
643,45.867
644,45.942
645,44.981
646,44.517
647,43.490
648,43.483
649,45.071
650,46.729
