Distance_(pixels),Gray_Value
0,21.000
1,21.803
2,23.658
3,22.343
4,22.276
5,23.980
6,24.657
7,25.288
8,23.589
9,22.238
10,21.681
11,22.874
12,24.077
13,26.672
14,28.817
15,28.966
16,26.755
17,25.543
18,23.426
19,21.427
20,21.650
21,22.615
22,23.123
23,24.653
24,26.030
25,26.685
26,25.975
27,26.186
28,26.329
29,26.333
30,25.269
31,25.100
32,25.973
33,26.884
34,27.790
35,28.538
36,29.409
37,31.035
38,31.134
39,29.483
40,28.112
41,27.897
42,27.475
43,29.135
44,31.445
45,32.956
46,32.530
47,31.397
48,32.608
49,32.747
50,33.094
51,32.891
52,31.536
53,30.464
54,29.706
55,30.802
56,31.000
57,32.719
58,35.571
59,37.525
60,35.389
61,35.176
62,37.915
63,38.322
64,36.588
65,36.727
66,37.911
67,39.700
68,40.345
69,39.611
70,38.210
71,38.961
72,39.909
73,39.686
74,38.915
75,38.699
76,38.667
77,39.477
78,40.781
79,40.578
80,41.828
81,42.080
82,41.489
83,41.749
84,43.169
85,45.316
86,45.246
87,43.952
88,42.070
89,40.994
90,40.820
91,40.967
92,39.213
93,38.828
94,41.536
95,45.079
96,46.900
97,50.251
98,52.486
99,53.048
100,55.252
101,53.977
102,51.044
103,50.907
104,51.388
105,50.902
106,50.420
107,49.876
108,49.723
109,48.924
110,50.168
111,53.651
112,56.048
113,59.408
114,62.836
115,63.713
116,63.905
117,65.516
118,66.893
119,65.570
120,63.545
121,62.708
122,62.174
123,62.663
124,64.123
125,64.411
126,64.119
127,64.605
128,63.830
129,65.269
130,68.971
131,72.649
132,75.223
133,76.452
134,76.728
135,77.096
136,80.593
137,84.956
138,88.989
139,90.667
140,91.815
141,91.818
142,90.146
143,88.143
144,87.387
145,86.690
146,88.240
147,91.230
148,92.041
149,91.004
150,91.205
151,92.686
152,93.423
153,95.077
154,97.477
155,100.208
156,103.980
157,107.389
158,109.343
159,110.311
160,108.994
161,108.850
162,112.001
163,112.243
164,108.506
165,106.759
166,106.897
167,107.928
168,110.612
169,111.794
170,113.274
171,117.547
172,124.552
173,131.523
174,136.286
175,138.853
176,139.200
177,138.722
178,139.940
179,138.923
180,132.934
181,127.129
182,122.011
183,117.679
184,118.855
185,123.979
186,128.033
187,130.171
188,134.192
189,139.351
190,141.736
191,140.941
192,139.491
193,138.560
194,138.638
195,138.480
196,136.716
197,135.929
198,137.170
199,138.086
200,137.048
201,137.346
202,139.735
203,141.500
204,142.361
205,143.219
206,144.549
207,146.502
208,149.040
209,151.508
210,153.814
211,154.966
212,156.350
213,159.702
214,162.220
215,167.703
216,173.211
217,173.142
218,171.296
219,168.149
220,165.857
221,164.948
222,165.261
223,166.927
224,167.799
225,166.806
226,164.977
227,163.564
228,162.532
229,162.159
230,164.875
231,170.234
232,175.000
233,177.054
234,177.419
235,174.060
236,168.633
237,165.722
238,170.203
239,181.540
240,188.889
241,187.086
242,183.284
243,179.793
244,177.727
245,177.849
246,179.090
247,178.921
248,175.546
249,169.002
250,163.263
251,161.209
252,160.287
253,155.666
254,154.573
255,153.513
256,149.971
257,145.896
258,147.230
259,144.888
260,142.058
261,138.119
262,134.828
263,132.983
264,133.964
265,140.715
266,145.264
267,148.124
268,149.390
269,153.979
270,162.020
271,167.176
272,168.555
273,169.620
274,167.478
275,164.680
276,163.010
277,165.051
278,169.392
279,173.548
280,176.554
281,177.666
282,175.291
283,177.819
284,185.843
285,191.989
286,198.349
287,193.930
288,187.541
289,179.144
290,171.857
291,173.563
292,174.200
293,172.956
294,174.129
295,175.602
296,178.114
297,179.373
298,177.733
299,174.707
300,169.217
301,164.841
302,158.583
303,158.979
304,160.905
305,162.883
306,164.781
307,164.417
308,157.322
309,148.816
310,144.989
311,144.320
312,143.581
313,142.645
314,140.935
315,142.233
316,145.763
317,146.239
318,143.539
319,140.238
320,138.835
321,139.234
322,138.264
323,135.167
324,133.019
325,132.647
326,130.177
327,126.233
328,122.389
329,114.509
330,111.919
331,112.635
332,112.727
333,113.662
334,113.633
335,112.649
336,116.336
337,115.089
338,114.111
339,114.180
340,115.946
341,115.888
342,110.409
343,107.634
344,109.083
345,104.635
346,101.364
347,102.774
348,103.333
349,103.255
350,102.918
351,102.204
352,102.488
353,98.424
354,95.956
355,91.203
356,87.901
357,86.420
358,83.800
359,81.321
360,80.376
361,80.280
362,84.505
363,86.398
364,83.897
365,81.953
366,79.704
367,76.712
368,73.914
369,72.579
370,67.767
371,65.546
372,66.529
373,68.698
374,68.969
375,67.195
376,67.185
377,66.214
378,64.414
379,61.783
380,60.680
381,61.025
382,62.405
383,63.419
384,62.390
385,64.118
386,65.914
387,67.050
388,67.135
389,66.326
390,66.164
391,64.621
392,64.241
393,62.617
394,64.151
395,63.759
396,63.796
397,68.066
398,73.092
399,77.719
400,80.882
401,84.015
402,88.240
403,89.619
404,88.115
405,88.396
406,90.667
407,92.536
408,96.590
409,94.956
410,92.610
411,92.055
412,93.692
413,93.310
414,90.935
415,91.156
416,93.652
417,93.940
418,94.261
419,95.104
420,96.296
421,98.259
422,99.713
423,100.324
424,101.438
425,103.231
426,101.522
427,103.133
428,110.825
429,122.309
430,131.765
431,136.767
432,139.192
433,136.973
434,136.607
435,132.952
436,136.928
437,138.660
438,139.236
439,126.187
440,113.056
441,117.467
442,126.002
443,137.801
444,142.142
445,140.384
446,144.431
447,150.895
448,151.376
449,152.113
450,150.681
451,148.291
452,148.356
453,148.092
454,145.086
455,136.638
456,128.101
457,131.735
458,133.830
459,132.279
460,133.699
461,135.424
462,133.705
463,133.410
464,132.524
465,130.516
466,129.944
467,128.719
468,128.259
469,131.998
470,137.701
471,142.275
472,146.981
473,144.983
474,140.150
475,129.485
476,117.526
477,113.556
478,117.178
479,119.647
480,116.522
481,115.039
482,113.208
483,109.137
484,107.786
485,107.389
486,105.389
487,101.902
488,99.989
489,99.239
490,98.159
491,94.224
492,90.248
493,87.500
494,85.118
495,83.748
496,84.498
497,85.241
498,84.815
499,83.594
500,81.785
501,80.910
502,79.855
503,78.642
504,79.104
505,79.204
506,80.150
507,80.042
508,77.143
509,73.926
510,71.125
511,68.613
512,65.302
513,64.076
514,60.490
515,58.662
516,58.271
517,55.621
518,51.754
519,51.239
520,52.248
521,49.970
522,48.286
523,47.377
524,45.409
525,44.788
526,44.181
527,44.176
528,45.056
529,45.712
530,46.835
531,47.630
532,47.159
533,47.294
534,50.173
535,52.859
536,53.609
537,55.936
538,57.155
539,59.070
540,60.608
541,60.517
542,60.838
543,63.841
544,68.008
545,70.058
546,71.276
547,71.244
548,70.223
549,70.657
550,74.207
551,79.643
552,83.952
553,87.824
554,90.261
555,91.024
556,88.960
557,86.935
558,87.901
559,90.285
560,91.094
561,92.657
562,95.365
563,97.108
564,97.500
565,97.409
566,96.002
567,94.943
568,96.642
569,98.617
570,99.222
571,99.513
572,99.864
573,100.000
574,100.000
575,97.464
576,91.816
577,89.845
578,90.337
579,90.647
580,91.000
581,92.106
582,92.487
583,91.734
584,93.352
585,94.482
586,96.425
587,100.136
588,103.064
589,104.841
590,103.317
591,98.955
592,96.761
593,98.224
594,102.275
595,106.244
596,110.180
597,112.965
598,108.990
599,100.103
600,94.352
601,91.834
602,88.624
603,87.261
604,89.639
605,92.366
606,93.598
607,94.228
608,94.460
609,92.667
610,87.397
611,80.312
612,74.585
613,70.044
614,66.339
615,65.051
616,65.149
617,64.081
618,63.351
619,62.569
620,58.482
621,54.614
622,53.547
623,53.476
624,53.333
625,53.535
626,52.849
627,51.664
628,51.772
629,51.341
630,50.811
631,50.738
632,49.402
633,48.389
634,48.887
635,49.414
636,48.638
637,46.844
638,46.095
639,47.782
640,50.354
641,51.161
642,49.646
643,47.785
644,45.862
645,45.141
646,45.109
647,44.491
648,43.710
649,43.881
650,44.437
651,45.384
652,46.353
653,45.278
654,43.881
655,43.989
656,45.534
657,45.888
658,45.103
659,45.105
660,46.430
661,48.072
662,50.417
663,51.542
664,50.309
665,49.515
666,52.769
667,56.548
668,60.504
669,63.758
670,66.092
671,67.871
672,70.628
673,74.920
674,80.331
675,85.643
676,89.922
677,93.125
678,93.766
679,90.741
680,86.844
681,85.617
682,84.717
683,83.438
684,86.066
685,88.841
686,89.582
687,90.597
688,93.365
689,97.032
690,100.711
691,102.490
692,106.788
693,107.885
694,105.709
695,105.172
696,105.381
697,104.040
698,101.016
699,95.267
700,93.551
701,97.312
702,104.434
703,111.460
704,116.709
705,118.783
706,117.938
707,112.492
708,109.167
709,105.578
710,101.549
711,99.967
712,99.230
713,98.669
714,98.034
715,95.484
716,94.888
