Distance_(pixels),Gray_Value
0,12.6667
1,12.9521
2,14.5399
3,14.1498
4,13.1455
5,12.6092
6,14.1011
7,14.3083
8,14.1307
9,14.4747
10,14.3489
11,14.9796
12,15.5218
13,15.4464
14,15.2032
15,15.3235
16,16.6069
17,16.3080
18,15.6667
19,15.8074
20,16.6667
21,16.2586
22,15.4719
23,15.2562
24,17.1775
25,17.3333
26,16.9703
27,16.7152
28,16.7327
29,16.8933
30,16.6774
31,15.6315
32,16.1012
33,17.4003
34,17.0385
35,15.9786
36,15.4188
37,15.0838
38,15.4664
39,15.4623
40,16.0191
41,16.1080
42,16.4983
43,17.0553
44,17.7664
45,20.2246
46,22.4128
47,21.3371
48,19.1560
49,18.0075
50,17.0514
51,16.7242
52,16.5561
53,16.3467
54,17.7378
55,20.0251
56,21.0000
57,20.9459
58,20.3518
59,19.4060
60,17.4367
61,17.7529
62,18.6750
63,17.8931
64,16.4245
65,16.8987
66,16.5997
67,16.3333
68,16.0220
69,17.1809
70,18.4545
71,18.9918
72,18.4232
73,17.1762
74,16.8850
75,17.9828
76,19.4823
77,20.4791
78,19.6083
79,18.9778
80,19.2060
81,19.5822
82,20.0752
83,20.1163
84,19.2247
85,18.6449
86,20.7283
87,23.2940
88,21.7634
89,20.3696
90,23.1250
91,23.6281
92,24.0926
93,22.7317
94,23.1605
95,24.4245
96,25.7571
97,25.3884
98,24.3824
99,24.6121
100,25.3581
101,27.0547
102,27.1173
103,26.1409
104,27.1208
105,28.5596
106,27.2546
107,25.6135
108,25.0419
109,24.6576
110,23.6549
111,25.0272
112,29.5634
113,30.1178
114,28.3184
115,28.1997
116,30.9681
117,32.3048
118,34.1606
119,36.2775
120,37.7935
121,37.2940
122,35.5578
123,33.7864
124,32.1761
125,30.9112
126,30.7550
127,31.4440
128,37.9035
129,38.9561
130,39.2241
131,40.0269
132,38.3474
133,39.0881
134,42.1999
135,42.9021
136,43.4389
137,45.2772
138,42.8436
139,39.5897
140,38.2814
141,38.6629
142,39.3136
143,38.8409
144,38.6249
145,41.3802
146,44.4338
147,46.4948
148,46.4422
149,44.4654
150,41.9844
151,46.5647
152,46.7647
153,42.6797
154,42.2028
155,44.3310
156,46.1276
157,46.2621
158,48.7837
159,49.5808
160,48.6457
161,49.4529
162,52.4806
163,54.5201
164,55.0215
165,55.1100
166,54.9624
167,55.9018
168,55.2697
169,54.4622
170,54.9728
171,55.9230
172,55.8576
173,53.4154
174,51.3203
175,54.8375
176,56.6381
177,56.2575
178,54.8538
179,55.5061
180,57.6931
181,58.0028
182,57.8184
183,59.6638
184,58.8211
185,58.3957
186,59.2275
187,58.1675
188,57.4383
189,58.7479
190,59.7353
191,59.6527
192,60.4975
193,59.5980
194,58.0151
195,59.4417
196,62.3922
197,62.8442
198,62.2553
199,64.0000
200,64.9163
201,66.0973
202,66.0235
203,64.3847
204,62.8951
205,61.9562
206,63.3079
207,67.4570
208,67.8151
209,65.8530
210,64.7261
211,65.0544
212,65.4344
213,65.3090
214,64.9396
215,64.1773
216,64.4690
217,65.4075
218,65.4244
219,65.7730
220,66.6811
221,67.1729
222,65.9815
223,65.3610
224,65.3333
225,66.8091
226,64.5655
227,64.1894
228,67.7208
229,70.0225
230,69.7913
231,69.3910
232,69.2390
233,69.3430
234,69.6123
235,69.0621
236,69.4647
237,69.3348
238,67.4305
239,66.9162
240,68.4640
241,70.3702
242,70.4578
243,67.9791
244,67.3233
245,67.6467
246,69.5077
247,72.0285
248,73.2998
249,72.9954
250,71.0876
251,70.7294
252,71.2526
253,72.8107
254,75.2841
255,77.0854
256,77.5421
257,76.4878
258,74.8801
259,73.5026
260,73.0140
261,74.8178
262,77.2903
263,78.8474
264,79.0965
265,76.8601
266,75.4070
267,72.0227
268,71.9486
269,72.8124
270,73.2489
271,72.5920
272,71.1645
273,72.8651
274,77.7682
275,80.3673
276,79.1767
277,77.6508
278,77.9309
279,77.4623
280,77.2472
281,76.8417
282,75.3025
283,74.7980
284,73.1691
285,72.2787
286,71.8225
287,74.3342
288,76.1904
289,77.0729
290,77.7917
291,75.1588
292,72.0132
293,72.6505
294,72.5956
295,70.9489
296,72.5154
297,75.5025
298,74.1896
299,71.7107
300,71.1774
301,71.8255
302,73.8258
303,74.2846
304,73.8632
305,73.6940
306,73.4628
307,73.2588
308,72.7694
309,70.5499
310,71.5285
311,68.5494
312,67.6670
313,69.2367
314,69.6849
315,68.2146
316,68.0384
317,67.7635
318,65.5301
319,63.6076
320,64.2814
321,65.6401
322,65.5915
323,65.1420
324,65.1658
325,65.5399
326,65.4288
327,64.4315
328,63.7286
329,62.6629
330,62.1258
331,64.0267
332,65.6214
333,63.5982
334,63.0233
335,62.1491
336,64.3334
337,65.8534
338,63.8204
339,61.3808
340,62.1045
341,63.8258
342,64.4475
343,64.2564
344,64.6310
345,64.0232
346,62.5834
347,63.7010
348,66.1788
349,66.8641
350,66.4719
351,63.4784
352,63.4641
353,63.2105
354,63.9928
355,64.6776
356,64.1451
357,62.7127
358,61.9455
359,60.9652
360,61.2764
361,62.5054
362,62.8260
363,62.8716
364,62.1461
365,60.7358
366,59.7123
367,58.2136
368,57.0261
369,58.2060
370,58.3968
371,57.9560
372,58.1189
373,58.5612
374,57.6533
375,56.0590
376,56.1700
377,56.2449
378,56.8666
379,56.3085
380,56.7230
381,57.5269
382,57.1625
383,56.2728
384,57.4034
385,55.8970
386,52.6148
387,51.8557
388,52.6853
389,52.1161
390,49.5416
391,47.2365
392,47.1501
393,47.0000
394,47.7236
395,50.0170
396,45.9464
397,45.2434
398,49.3333
399,46.2143
400,42.9973
401,43.6379
402,42.0124
403,41.3818
404,40.8237
405,41.1675
406,42.3998
407,44.2056
408,45.9553
409,44.0850
410,42.0419
411,40.6044
412,39.4535
413,38.8903
414,39.8291
415,41.9235
416,40.8868
417,37.2679
418,36.9074
419,40.3045
420,39.1542
421,36.1402
422,38.9647
423,39.9751
424,38.4059
425,37.6112
426,36.0498
427,38.4026
428,40.0153
429,38.6600
430,38.4268
431,39.3054
432,39.6721
433,40.2550
434,41.2934
435,39.0050
436,36.5075
437,36.9559
438,39.8485
439,40.6927
440,40.8328
441,41.0474
442,41.7430
443,41.9733
444,42.2264
445,43.1527
446,44.5827
447,45.4196
448,46.0480
449,46.1147
450,46.0351
451,45.6903
452,45.1717
453,45.1317
454,45.2823
455,45.8197
456,46.2998
457,45.2058
458,45.0871
459,46.1683
460,47.7489
461,46.2605
462,44.8911
463,46.8740
464,49.2050
465,50.0327
466,48.9951
467,47.8554
468,49.5720
469,52.4617
470,52.6114
471,51.7712
472,53.9989
473,56.4686
474,57.4807
475,58.1718
476,58.0235
477,57.1014
478,57.3486
479,57.9219
480,57.1408
481,58.3719
482,61.0308
483,61.4028
484,63.2600
485,63.3861
486,64.0280
487,64.3180
488,63.4037
489,63.6529
490,64.5758
491,65.2791
492,65.7487
493,65.2517
494,65.9891
495,66.7415
496,66.5273
497,65.9732
498,65.9158
499,67.1911
500,69.8494
501,73.6462
502,75.8992
503,72.5773
504,69.2797
505,69.4318
506,73.7283
507,76.2601
508,77.1787
509,76.5527
510,75.9989
511,78.9869
512,79.9810
513,78.5502
514,77.4758
515,77.5361
516,78.7490
517,80.6309
518,82.0444
519,81.8404
520,81.8197
521,82.4372
522,82.7377
523,82.3610
524,82.0087
525,82.8677
526,84.6376
527,85.0444
528,86.6427
529,88.0919
530,86.1296
531,84.3243
532,88.6868
533,93.9168
534,92.9648
535,91.6122
536,93.9971
537,94.6743
538,94.7619
539,95.7383
540,95.6030
541,94.7694
542,94.7655
543,95.0220
544,95.6312
545,97.4952
546,96.8610
547,94.0503
548,91.5210
549,91.0555
550,92.2503
551,93.5091
552,94.7354
553,96.3058
554,97.1707
555,97.8860
556,97.3166
557,97.9772
558,99.3514
559,100.3853
560,100.3023
561,97.6432
562,96.5517
563,98.1244
564,101.5281
565,104.0155
566,102.2396
567,99.3130
568,100.0386
569,101.5639
570,97.7922
571,94.8585
572,93.8851
573,95.3953
574,95.5210
575,96.2795
576,98.9726
577,99.8988
578,100.1609
579,99.6725
580,99.5484
581,99.1726
582,98.5616
583,100.0116
584,100.6333
585,101.0946
586,101.6667
587,101.7496
588,102.4261
589,102.3113
590,100.7337
591,99.0812
592,97.6717
593,97.8501
594,97.7107
595,98.1973
596,99.2335
597,101.8333
598,103.8574
599,103.2395
600,102.7040
601,101.3724
602,101.5159
603,100.7134
604,100.0754
605,98.7566
606,97.7387
607,96.9446
608,95.5801
609,92.8401
610,92.3455
611,94.7047
612,98.1612
613,98.5888
614,97.1287
615,97.4579
616,98.3782
617,95.7027
618,92.8367
619,89.6101
620,88.8173
621,88.9908
622,89.0000
623,89.7320
624,92.8315
625,95.0353
626,94.0607
627,93.1696
628,93.4029
629,92.2469
630,89.4343
631,88.0097
632,88.0779
633,89.0308
634,89.2898
635,90.8242
636,91.2033
637,89.6282
638,90.3667
639,89.1248
640,90.0393
641,89.9908
642,87.7822
643,86.6530
644,89.7794
645,89.9973
646,86.7992
647,85.5935
648,86.2680
649,85.7513
650,83.9316
651,83.5695
652,83.7503
653,83.9143
654,83.9838
655,84.5084
656,83.9119
657,81.7139
658,80.0602
659,79.7998
660,79.4333
661,74.3033
662,77.1574
663,81.2003
664,81.4563
665,79.5643
666,77.0006
667,77.0059
668,80.2473
669,77.1809
670,73.4325
671,74.0165
672,76.2576
673,75.3048
674,72.0977
675,70.8836
676,71.0837
677,69.9284
678,67.9481
679,67.5705
680,67.6499
681,67.8819
682,67.8196
683,67.4206
684,66.4612
685,66.1646
686,66.5494
687,64.5030
688,64.3766
689,63.9975
690,63.0826
691,62.4796
692,63.3132
693,62.3668
694,62.3666
695,63.0116
696,62.4064
697,58.4885
698,55.3648
699,55.4421
700,56.2286
701,55.7452
702,55.8109
703,56.1401
704,56.3070
705,57.0000
706,56.7597
707,55.2214
708,53.3877
709,56.4346
710,61.3983
711,55.7001
712,54.5743
713,51.1266
714,49.1175
715,49.5569
716,49.7359
717,47.4699
718,45.3856
719,45.5948
720,45.4173
