Distance_(pixels),Gray_Value
0,6.6667
1,7.6155
2,7.6667
3,8.5131
4,9.1425
5,9.8928
6,10.0000
7,10.5703
8,11.0201
9,11.5075
10,12.1627
11,12.3333
12,12.4355
13,12.6295
14,12.5105
15,12.5219
16,12.6776
17,13.1239
18,13.7209
19,14.6935
20,15.3251
21,14.9146
22,13.8213
23,13.0698
24,13.5729
25,13.7787
26,14.8550
27,16.5683
28,18.6546
29,18.8967
30,19.0347
31,19.9418
32,20.2898
33,20.2068
34,20.7754
35,21.4353
36,22.0000
37,22.0351
38,22.4116
39,23.7831
40,24.5639
41,24.3156
42,23.7011
43,23.1479
44,22.7510
45,23.0532
46,24.7103
47,26.0173
48,27.4723
49,28.4106
50,29.0420
51,29.7579
52,30.2349
53,30.3333
54,30.1168
55,29.9116
56,31.2150
57,32.5028
58,34.1345
59,34.8725
60,35.5881
61,37.4197
62,39.0902
63,38.5592
64,38.6101
65,38.5550
66,37.5119
67,36.7830
68,37.1015
69,39.0396
70,40.9900
71,41.0210
72,39.4779
73,38.2536
74,38.2751
75,39.0131
76,39.7390
77,40.3344
78,40.6667
79,40.6667
80,40.4852
81,41.0655
82,42.6643
83,43.4167
84,44.5984
85,44.8602
86,44.5481
87,43.8708
88,43.3294
89,43.6879
90,43.8994
91,44.8550
92,44.9036
93,44.7649
94,45.7185
95,47.7632
96,48.6924
97,48.6994
98,49.3272
99,48.0924
100,46.4988
101,46.0572
102,46.7771
103,48.4518
104,49.0732
105,47.8826
106,48.1780
107,49.1600
108,49.8233
109,49.7869
110,49.7189
111,50.1072
112,49.8755
113,49.2833
114,49.5052
115,50.0671
116,50.2072
117,52.3554
118,54.6747
119,54.5763
120,53.8089
121,51.7377
122,50.0163
123,48.9649
124,47.1451
125,46.6308
126,47.4705
127,47.6687
128,46.3594
129,45.2018
130,45.1145
131,45.4307
132,45.7267
133,45.8222
134,45.2808
135,44.7540
136,45.6348
137,45.0067
138,45.3112
139,44.8371
140,44.7134
141,44.0009
142,43.9096
143,44.1238
144,42.8497
145,40.9727
146,39.0911
147,38.6514
148,38.8815
149,38.7942
150,38.0882
151,37.4066
152,36.7024
153,35.6404
154,33.8313
155,31.6232
156,30.6506
157,29.3855
158,27.8173
159,26.8082
160,26.5046
161,26.2990
162,26.3333
163,25.8976
164,25.4925
165,24.5921
166,23.0833
167,22.6997
168,23.1476
169,22.8445
170,22.2118
171,21.7144
172,21.5656
173,22.0539
174,22.7506
175,24.0522
176,25.3173
177,25.6653
178,24.7811
179,23.8323
180,23.6101
181,22.4468
182,22.2269
183,23.2504
184,24.2450
185,24.9255
186,24.7582
187,25.2329
188,26.2490
189,26.7359
190,27.7851
191,29.2199
192,30.0657
193,30.7634
194,30.9352
195,30.3232
196,29.3811
197,29.3333
198,29.3333
199,29.3333
200,29.5254
201,30.3056
202,31.8111
203,32.1315
204,32.0824
205,32.1121
206,33.0540
207,34.1733
208,33.7418
209,33.8303
210,35.0823
211,35.5163
212,36.0482
213,36.4238
214,37.0045
215,37.0010
216,37.1044
217,37.9887
218,39.0891
219,38.2291
220,37.5750
221,37.7892
222,37.5855
223,37.2913
224,37.2196
225,36.6667
226,36.6667
227,36.6667
228,36.6667
229,36.2349
230,35.1270
231,34.6667
232,34.3904
233,32.6754
234,33.0060
235,33.3223
236,33.8335
237,34.2340
238,34.1129
239,32.5363
240,31.8173
241,31.8534
242,30.8460
243,30.3333
244,29.9127
245,29.5977
246,28.6606
247,27.1830
248,25.8609
249,24.8958
250,23.1876
251,22.2495
252,22.2757
253,21.3032
254,20.6707
255,20.1489
256,20.3092
257,20.4565
258,21.1137
259,21.8177
260,22.2289
261,22.2950
262,21.9652
263,21.9447
264,22.0000
265,22.5471
266,23.2068
267,22.9875
268,23.0803
269,22.7158
270,22.0000
271,22.1647
272,23.4056
273,24.3405
274,24.9702
275,25.3062
276,25.7897
277,26.3924
278,26.5745
279,26.5873
280,26.0881
281,26.2830
282,24.9789
283,24.5903
284,25.7304
285,26.9377
286,27.3754
287,27.9003
288,28.9617
289,29.5457
290,29.3182
291,28.6667
292,28.6667
293,28.6667
294,29.5954
295,28.6832
296,28.1367
297,27.7956
298,27.8313
299,27.9840
300,27.1084
301,27.8952
302,29.1070
303,29.1488
304,28.8449
305,28.9739
306,29.4422
307,30.1640
308,29.7108
309,29.0054
310,28.3052
311,28.0371
312,27.3333
313,27.3333
314,29.1526
315,31.0743
316,32.1526
317,30.0476
318,29.2924
319,28.1504
320,26.8398
321,26.7768
322,26.7751
323,25.7329
324,25.4985
325,25.8092
326,25.7901
327,26.1084
328,25.5864
329,24.5643
330,23.9317
331,23.3154
332,22.6667
333,23.0099
334,22.6215
335,22.3675
336,21.5382
337,21.5178
338,21.9685
339,20.9307
340,20.0204
341,19.8464
342,19.7541
343,19.9578
344,20.2838
345,19.8144
346,19.6399
347,19.3927
348,19.3224
349,18.8598
350,18.1024
351,18.0093
352,18.6428
353,18.9749
354,19.3280
355,19.0592
356,17.7149
357,17.0262
358,17.5196
359,17.4608
360,17.1446
361,17.5151
362,17.6079
363,17.4709
364,18.0281
365,19.0352
366,20.0731
367,20.9076
368,20.6948
369,21.6121
370,23.3932
371,24.3353
372,24.9679
373,25.2803
374,25.6165
375,25.9864
376,25.7510
377,25.9994
378,26.3212
379,27.0439
380,27.4916
381,27.9960
382,28.4450
383,29.3431
384,29.9255
385,30.2680
386,31.3333
387,31.3946
388,31.8934
389,33.6945
390,34.1041
391,33.5741
392,33.3345
393,33.2359
394,33.2979
395,34.1074
396,33.7624
397,33.8906
398,34.2068
399,35.0924
400,35.3213
401,34.7717
402,33.8985
403,33.0602
404,32.6952
405,32.4275
406,31.8582
407,30.8087
408,30.6654
409,30.5694
410,31.1144
411,31.3377
412,31.3333
413,33.0382
414,33.3864
415,33.1458
416,31.3695
417,30.0951
418,29.4016
419,29.7731
420,29.6416
421,29.4430
422,29.1517
423,28.3150
424,27.6423
425,26.9207
426,26.4799
427,25.6605
428,25.4177
429,26.3112
430,25.6787
431,25.6882
432,25.6667
433,26.4950
434,26.2734
435,25.6415
436,25.3812
437,25.2038
438,24.0554
439,22.6363
440,21.4471
441,21.0000
442,20.5809
443,19.5747
444,19.2012
445,19.5249
446,18.1707
447,17.2632
448,16.9988
449,16.6707
450,17.0924
451,18.2568
452,18.3746
453,19.1376
454,19.3333
455,19.3333
456,19.5502
457,20.1463
458,20.3333
459,20.2500
460,19.8876
461,18.5973
462,17.7519
463,18.4997
464,18.8273
465,19.2650
466,19.3461
467,20.1481
468,21.9887
469,22.2106
470,22.8103
471,22.3986
472,21.8092
473,22.5874
474,24.5155
475,25.0510
476,24.9895
477,25.3564
478,25.8165
479,26.8773
480,27.8293
481,28.5803
482,29.4981
483,30.4881
484,31.4305
485,33.5102
486,32.8855
487,32.0633
488,33.0000
489,33.0000
490,33.8822
491,33.5501
492,33.3169
493,32.4477
494,32.3244
495,31.7893
496,31.6993
497,31.9662
498,32.2500
499,32.7884
500,33.5984
501,33.3072
502,32.1968
503,33.2974
504,35.2965
505,36.0944
506,36.6639
507,36.3464
508,36.6627
509,35.4177
510,35.7156
511,35.5924
512,35.8659
513,35.8373
514,37.0426
515,37.9177
516,38.2369
517,37.9049
518,38.0145
519,38.7580
520,39.5043
521,40.0346
522,40.0924
523,39.2490
524,38.5120
525,38.6667
526,38.5562
527,36.9849
528,36.0361
529,36.3219
530,36.9474
531,37.5060
532,37.7276
533,37.6667
534,38.3233
535,38.6136
536,37.7229
537,36.5823
538,37.1187
539,36.9008
540,34.8254
541,34.3566
542,34.4990
543,34.0511
544,35.4227
545,35.4857
546,34.2912
547,33.3424
548,33.3522
549,34.2219
550,35.2161
551,35.3333
552,36.1332
553,35.4217
554,34.1494
555,34.2299
556,34.4378
557,34.1737
558,33.8574
559,33.5412
560,33.2602
561,33.6988
562,34.6282
563,34.3331
564,32.9550
565,32.3548
566,32.3154
567,31.6781
568,30.4458
569,30.2943
570,29.2490
571,28.5807
572,29.4139
573,30.9376
574,31.9730
575,32.2075
576,32.5020
577,32.2808
578,31.7852
579,31.5906
580,31.7671
581,31.8958
582,31.0683
583,29.9884
584,30.0714
585,29.8759
586,27.8976
587,28.4127
588,28.6641
589,27.4528
590,25.6576
591,23.8574
592,23.5623
593,24.2250
594,24.9424
595,23.8863
596,23.3293
597,24.0526
598,24.5562
599,24.1526
600,23.2391
601,22.1439
602,21.4337
603,20.2973
604,20.2610
605,19.3194
606,19.0003
607,18.4125
608,18.5261
609,19.5532
610,19.9478
611,19.2181
612,19.5163
613,19.8177
614,19.8954
615,19.0743
616,18.1261
617,17.1528
618,16.6246
619,16.0291
620,15.4949
621,15.8663
622,15.2907
623,15.1378
624,13.6185
625,12.6697
626,12.6496
627,12.7661
628,11.8554
629,11.6667
630,10.6971
631,10.6797
632,10.2367
633,9.6667
634,10.4644
635,11.4849
636,11.4025
637,11.0887
638,10.7414
639,10.2571
640,9.5499
641,10.3926
642,10.5156
643,9.5431
644,8.3356
645,7.7053
646,7.8955
647,8.3384
648,8.8302
649,9.0000
650,9.0000
651,9.0495
652,8.7952
653,8.4789
654,8.1627
655,8.1536
656,8.4699
657,8.3082
658,7.7008
659,7.7705
660,7.6667
661,7.6667
662,7.6667
663,7.6505
664,7.6667
