Distance_(pixels),Gray_Value
0,18.333
1,19.002
2,19.065
3,19.404
4,21.083
5,20.099
6,22.164
7,22.886
8,22.808
9,22.338
10,22.093
11,21.889
12,20.832
13,20.628
14,19.580
15,18.810
16,18.599
17,17.643
18,17.333
19,18.236
20,20.302
21,21.958
22,23.423
23,24.534
24,24.998
25,24.714
26,24.390
27,23.747
28,22.838
29,22.970
30,23.820
31,24.883
32,26.930
33,28.198
34,28.517
35,30.440
36,32.183
37,32.150
38,32.333
39,32.285
40,31.961
41,32.071
42,32.233
43,32.692
44,32.765
45,32.769
46,31.526
47,32.714
48,34.239
49,33.902
50,33.302
51,32.775
52,33.132
53,33.257
54,32.223
55,32.794
56,33.026
57,32.558
58,31.711
59,32.370
60,32.496
61,33.547
62,34.445
63,34.977
64,33.979
65,33.471
66,33.389
67,33.225
68,33.533
69,32.871
70,33.149
71,32.925
72,33.677
73,36.266
74,40.719
75,42.882
76,42.741
77,41.883
78,41.606
79,41.601
80,42.215
81,43.732
82,45.159
83,45.914
84,47.143
85,50.416
86,52.101
87,51.897
88,52.110
89,53.486
90,55.516
91,55.812
92,56.248
93,54.481
94,51.918
95,49.365
96,48.537
97,48.142
98,48.548
99,50.639
100,52.507
101,54.311
102,53.900
103,54.507
104,56.126
105,55.561
106,54.574
107,53.862
108,53.528
109,53.891
110,57.743
111,57.281
112,56.953
113,57.860
114,59.419
115,62.793
116,68.735
117,72.013
118,74.458
119,74.894
120,71.744
121,68.373
122,62.869
123,60.517
124,61.418
125,62.020
126,64.510
127,68.975
128,72.872
129,75.048
130,76.204
131,76.986
132,77.889
133,80.954
134,85.869
135,89.923
136,99.696
137,111.596
138,115.776
139,111.076
140,105.486
141,98.239
142,92.161
143,95.509
144,93.931
145,92.430
146,89.455
147,85.439
148,84.411
149,84.851
150,84.933
151,89.015
152,102.020
153,108.831
154,112.220
155,112.180
156,111.775
157,113.503
158,119.056
159,124.791
160,117.740
161,111.043
162,106.431
163,100.231
164,95.080
165,102.889
166,117.118
167,123.692
168,136.118
169,150.486
170,143.072
171,142.467
172,142.831
173,137.161
174,131.490
175,123.381
176,118.592
177,117.318
178,116.550
179,113.192
180,118.727
181,128.521
182,135.526
183,138.850
184,137.068
185,131.884
186,128.756
187,124.640
188,119.734
189,118.345
190,118.915
191,130.385
192,147.437
193,154.084
194,150.325
195,145.971
196,146.137
197,146.608
198,151.572
199,160.122
200,165.263
201,162.982
202,150.166
203,132.930
204,119.674
205,120.328
206,126.039
207,134.524
208,138.755
209,141.632
210,146.175
211,145.534
212,145.566
213,139.621
214,137.994
215,134.369
216,140.717
217,144.732
218,150.136
219,155.096
220,157.009
221,153.400
222,143.969
223,137.223
224,136.892
225,138.813
226,145.131
227,148.573
228,153.328
229,149.950
230,148.243
231,146.598
232,146.249
233,145.654
234,142.910
235,142.073
236,145.833
237,152.422
238,164.791
239,163.075
240,151.841
241,133.196
242,128.939
243,132.678
244,135.528
245,140.068
246,142.737
247,145.103
248,148.529
249,149.817
250,152.993
251,150.415
252,139.793
253,132.640
254,133.166
255,136.289
256,141.940
257,146.513
258,145.583
259,146.215
260,145.218
261,138.767
262,130.498
263,119.556
264,113.541
265,108.356
266,103.208
267,99.292
268,88.961
269,78.022
270,73.701
271,73.279
272,72.503
273,71.887
274,77.279
275,83.393
276,80.197
277,76.810
278,73.360
279,71.903
280,71.361
281,69.906
282,66.141
283,62.313
284,58.246
285,54.664
286,51.426
287,47.129
288,44.095
289,42.429
290,39.930
291,42.012
292,44.598
293,44.966
294,44.171
295,43.917
296,43.656
297,42.717
298,40.587
299,39.616
300,38.499
301,37.879
302,38.154
303,39.631
304,41.684
305,44.072
306,46.333
307,47.236
308,47.627
309,49.306
310,51.258
311,52.912
312,56.428
313,62.482
314,69.943
315,76.864
316,80.039
317,80.203
318,80.595
319,80.860
320,80.096
321,78.675
322,75.273
323,70.828
324,69.444
325,71.888
326,76.424
327,85.723
328,94.274
329,95.290
330,96.457
331,95.642
332,91.809
333,92.167
334,96.667
335,98.786
336,96.826
337,93.793
338,92.256
339,94.222
340,98.999
341,105.787
342,115.854
343,119.568
344,120.163
345,124.710
346,128.238
347,122.970
348,124.540
349,120.090
350,106.303
351,90.654
352,87.108
353,87.694
354,95.792
355,99.551
356,101.834
357,103.811
358,102.467
359,104.162
360,107.974
361,109.745
362,111.329
363,107.594
364,98.289
365,95.609
366,101.642
367,107.211
368,110.189
369,107.624
370,101.855
371,100.589
372,104.047
373,108.611
374,116.591
375,122.549
376,113.988
377,109.739
378,115.361
379,125.736
380,127.560
381,121.086
382,106.721
383,93.575
384,82.305
385,79.284
386,80.156
387,78.142
388,73.089
389,67.159
390,59.667
391,54.297
392,49.976
393,50.113
394,49.592
395,47.261
396,48.654
397,49.282
398,49.980
399,50.749
400,50.607
401,49.734
402,46.815
403,44.366
404,38.647
405,36.198
406,36.737
407,37.459
408,35.888
409,34.364
410,36.297
411,40.549
412,42.398
413,41.823
414,40.292
415,38.174
416,36.269
417,34.663
418,33.806
419,34.348
420,36.308
421,37.699
422,38.740
423,39.224
424,38.544
425,39.088
426,38.969
427,38.117
428,36.921
429,35.496
430,34.775
431,35.162
432,39.003
433,46.150
434,55.217
435,66.503
436,78.303
437,88.277
438,97.887
439,102.471
440,98.068
441,90.412
442,83.542
443,77.921
444,74.664
445,75.144
446,76.485
447,79.673
448,83.383
449,87.345
450,89.320
451,91.425
452,92.423
453,91.546
454,90.932
455,89.715
456,91.112
457,94.316
458,96.518
459,96.592
460,96.292
461,102.193
462,112.823
463,111.003
464,109.529
465,107.575
466,101.347
467,93.583
468,95.196
469,105.561
470,110.170
471,104.259
472,96.500
473,89.596
474,85.699
475,87.405
476,91.765
477,94.614
478,95.870
479,94.053
480,91.373
481,88.450
482,83.049
483,79.360
484,81.250
485,84.120
486,85.629
487,89.541
488,92.771
489,91.454
490,89.136
491,88.965
492,90.100
493,92.123
494,91.436
495,94.119
496,92.804
497,91.959
498,86.737
499,78.839
500,78.233
501,78.665
502,76.254
503,75.463
504,73.271
505,71.119
506,68.911
507,66.927
508,64.150
509,61.074
510,60.587
511,60.118
512,60.949
513,62.324
514,63.936
515,67.093
516,70.789
517,70.854
518,69.235
519,68.083
520,62.235
521,53.484
522,47.907
523,46.438
524,43.708
525,38.984
526,35.213
527,33.371
528,33.350
529,34.669
530,34.921
531,34.771
532,35.798
533,36.582
534,37.748
535,38.221
536,36.795
537,37.812
538,37.238
539,35.314
540,33.251
541,30.071
542,27.337
543,26.010
544,24.846
545,24.418
546,26.889
547,29.156
548,31.131
549,34.468
550,37.016
551,42.726
552,49.722
553,52.321
554,51.735
555,51.990
556,49.992
557,47.189
558,46.983
559,48.534
560,49.380
561,53.226
562,53.905
563,53.646
564,52.675
565,50.920
566,50.178
567,49.438
568,50.318
569,49.150
570,47.420
571,46.164
572,44.875
573,44.295
574,46.057
575,47.037
576,51.155
577,62.240
578,74.474
579,81.560
580,85.171
581,84.631
582,81.629
583,81.529
584,80.694
585,79.647
586,81.232
587,82.763
588,81.114
589,78.615
590,75.354
591,70.358
592,67.717
593,66.907
594,70.589
595,83.414
596,93.475
597,98.025
598,99.330
